"","status_09","v2_indeg","v2_outdeg"
"status_09",1,0.331096936562042,-0.103323584261995
"v2_indeg",0.331096936562042,1,0.132564946142016
"v2_outdeg",-0.103323584261995,0.132564946142016,1
