"","status_09","status_14","indeg_09","indeg_14","indeg_17","outdeg_09","outdeg_14","outdeg_17"
"status_09",1,0.877403438292378,0.573409896977824,0.48705744527225,0.502803208768094,0.0547071904273112,0.144578972760444,0.284981157945565
"status_14",0.877403438292378,1,0.513400940584041,0.371438450977766,0.433131444384719,0.0498852508303081,0.13940309696947,0.323837160541531
"indeg_09",0.573409896977824,0.513400940584041,1,0.678363468151779,0.553426785699746,0.253527551501456,0.0678159728701693,0.239400752638322
"indeg_14",0.48705744527225,0.371438450977766,0.678363468151779,1,0.669078258352429,0.150392961936779,0.22892554613178,0.299511531989707
"indeg_17",0.502803208768094,0.433131444384719,0.553426785699746,0.669078258352429,1,0.065086663481839,0.0868205772187526,0.280922265900139
"outdeg_09",0.0547071904273112,0.0498852508303081,0.253527551501456,0.150392961936779,0.065086663481839,1,0.247791940699896,0.068138128903479
"outdeg_14",0.144578972760444,0.13940309696947,0.0678159728701693,0.22892554613178,0.0868205772187526,0.247791940699896,1,0.0290179160339048
"outdeg_17",0.284981157945565,0.323837160541531,0.239400752638322,0.299511531989707,0.280922265900139,0.068138128903479,0.0290179160339048,1
